id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
multiple_2_he,multiple_2,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,253,21,0.001895,2.2834129333496094,
multiple_7_he,multiple_7,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,True,1,1,0,0,,348,130,0.00564,3.12092661857605,
multiple_8_he,multiple_8,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,397,49,0.0034549999999999997,2.7275967597961426,
multiple_9_he,multiple_9,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,305,32,0.002485,3.071951150894165,
multiple_12_he,multiple_12,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,413,87,0.004675,2.705018997192383,
multiple_13_he,multiple_13,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,311,63,0.003445,1.9909677505493164,
multiple_15_he,multiple_15,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,378,40,0.0030900000000000003,1.3569202423095703,
multiple_16_he,multiple_16,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,False,False,2,2,0,1,,965,133,0.008815,4.708654880523682,
multiple_17_he,multiple_17,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,407,36,0.0031150000000000006,1.6507151126861572,
multiple_18_he,multiple_18,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,257,44,0.002605,1.6739490032196045,
multiple_19_he,multiple_19,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,335,30,0.002575,3.125887632369995,
multiple_20_he,multiple_20,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,321,46,0.002985,1.8964734077453613,
multiple_22_he,multiple_22,he,full,he_translatable_full_lang_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,390,26,0.00273,1.2315537929534912,
