id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
multiple_2_he,multiple_2,he,full,he_translatable_full,claude-opus-5,True,False,False,2,2,0,1,,1329,132,0.009945,3.287961721420288,
multiple_7_he,multiple_7,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,11968,1944,0.10844,28.334088563919067,
multiple_8_he,multiple_8,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,9484,1611,0.087695,20.886163234710693,
multiple_9_he,multiple_9,he,full,he_translatable_full,claude-opus-5,True,True,False,1,1,0,0,,756,77,0.005705,2.2425663471221924,
multiple_12_he,multiple_12,he,full,he_translatable_full,claude-opus-5,True,True,False,1,1,0,0,,1032,174,0.00951,2.5401663780212402,
multiple_13_he,multiple_13,he,full,he_translatable_full,claude-opus-5,True,True,False,1,1,0,0,,732,113,0.0064849999999999994,1.811227560043335,
multiple_15_he,multiple_15,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,8790,1142,0.0725,20.3671658039093,
multiple_16_he,multiple_16,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,10456,1196,0.08218,18.56874179840088,
multiple_17_he,multiple_17,he,full,he_translatable_full,claude-opus-5,True,True,False,1,1,0,0,,908,111,0.007315,1.8336818218231201,
multiple_18_he,multiple_18,he,full,he_translatable_full,claude-opus-5,True,False,False,3,3,0,2,,2338,276,0.01859,7.193692207336426,
multiple_19_he,multiple_19,he,full,he_translatable_full,claude-opus-5,True,False,False,2,2,0,1,,1759,218,0.014244999999999999,5.0172200202941895,
multiple_20_he,multiple_20,he,full,he_translatable_full,claude-opus-5,True,False,False,3,3,0,2,,2871,361,0.023379999999999998,5.725693464279175,
multiple_22_he,multiple_22,he,full,he_translatable_full,claude-opus-5,True,True,False,1,1,0,0,,809,62,0.005595,2.1259632110595703,
multiple_23_he,multiple_23,he,full,he_translatable_full,claude-opus-5,False,False,False,5,7,2,5,no_matching_call,10844,1042,0.08027,15.799755096435547,
multiple_24_he,multiple_24,he,full,he_translatable_full,claude-opus-5,True,False,False,2,2,0,1,,1709,379,0.01802,6.821877956390381,
multiple_25_he,multiple_25,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,11496,1367,0.09165499999999999,22.68259334564209,
multiple_26_he,multiple_26,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,9074,1057,0.071795,19.0959255695343,
multiple_27_he,multiple_27,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,7421,962,0.061155,17.237532377243042,
multiple_38_he,multiple_38,he,full,he_translatable_full,claude-opus-5,True,True,False,1,1,0,0,,758,82,0.00584,2.2471814155578613,
multiple_39_he,multiple_39,he,full,he_translatable_full,claude-opus-5,True,False,False,3,3,0,2,,2727,389,0.02336,7.59315299987793,
multiple_44_he,multiple_44,he,full,he_translatable_full,claude-opus-5,True,False,False,2,2,0,1,,1887,201,0.01446,3.2328526973724365,
multiple_45_he,multiple_45,he,full,he_translatable_full,claude-opus-5,True,False,False,2,2,0,1,,1391,196,0.011855000000000001,4.966517448425293,
multiple_46_he,multiple_46,he,full,he_translatable_full,claude-opus-5,True,False,False,5,5,0,4,,5780,670,0.04565,13.019032001495361,
multiple_48_he,multiple_48,he,full,he_translatable_full,claude-opus-5,False,False,False,5,7,2,5,no_matching_call,9335,970,0.07092499999999999,20.137460470199585,
multiple_50_he,multiple_50,he,full,he_translatable_full,claude-opus-5,True,False,False,3,3,0,2,,3052,456,0.02666,7.226775169372559,
multiple_52_he,multiple_52,he,full,he_translatable_full,claude-opus-5,True,True,False,1,1,0,0,,695,102,0.006025,1.726567268371582,
multiple_53_he,multiple_53,he,full,he_translatable_full,claude-opus-5,True,False,False,3,3,0,2,,3347,561,0.03076,9.54075026512146,
multiple_54_he,multiple_54,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,7075,856,0.05677499999999999,13.77894926071167,
multiple_55_he,multiple_55,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,7047,983,0.05981,18.53864860534668,
multiple_56_he,multiple_56,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,8454,1100,0.06977,16.071232557296753,
multiple_58_he,multiple_58,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,7112,929,0.058785000000000004,14.417354345321655,
multiple_59_he,multiple_59,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,6950,823,0.055325,17.617717742919922,
multiple_60_he,multiple_60,he,full,he_translatable_full,claude-opus-5,True,False,False,3,3,0,2,,2815,275,0.02095,5.018096208572388,
multiple_61_he,multiple_61,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,8367,1108,0.069535,19.86754035949707,
multiple_62_he,multiple_62,he,full,he_translatable_full,claude-opus-5,False,False,False,5,6,1,5,no_matching_call,7325,787,0.0563,12.506704330444336,
multiple_63_he,multiple_63,he,full,he_translatable_full,claude-opus-5,True,False,False,2,2,0,1,,1692,228,0.014159999999999999,3.3349950313568115,
