id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
multiple_2_he,multiple_2,he,full,he_translatable_full_lang_desc,claude-opus-5,True,False,False,2,2,0,1,,1395,132,0.010275000000000001,4.1599626541137695,
multiple_7_he,multiple_7,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,True,1,1,0,0,,822,324,0.012209999999999999,4.87092137336731,
multiple_8_he,multiple_8,he,full,he_translatable_full_lang_desc,claude-opus-5,True,False,False,3,3,0,2,,3521,576,0.032005,9.645067930221558,
multiple_9_he,multiple_9,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,756,77,0.005705,2.079669952392578,
multiple_12_he,multiple_12,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,1043,174,0.009565,3.297494411468506,
multiple_13_he,multiple_13,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,754,161,0.007795,2.6957221031188965,
multiple_15_he,multiple_15,he,full,he_translatable_full_lang_desc,claude-opus-5,True,False,False,2,2,0,1,,1946,275,0.016605,5.729390621185303,
multiple_16_he,multiple_16,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,1069,220,0.010845,3.65360164642334,
multiple_17_he,multiple_17,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,985,111,0.0077,1.7988345623016357,
multiple_18_he,multiple_18,he,full,he_translatable_full_lang_desc,claude-opus-5,True,False,False,2,2,0,1,,1422,162,0.01116,4.2499659061431885,
multiple_19_he,multiple_19,he,full,he_translatable_full_lang_desc,claude-opus-5,True,False,False,2,2,0,1,,1781,230,0.014655,4.82965874671936,
multiple_20_he,multiple_20,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,816,77,0.006005,1.9658663272857666,
multiple_22_he,multiple_22,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,842,62,0.00576,2.041124105453491,
multiple_23_he,multiple_23,he,full,he_translatable_full_lang_desc,claude-opus-5,True,False,False,2,2,0,1,,2107,281,0.01756,5.714835166931152,
multiple_24_he,multiple_24,he,full,he_translatable_full_lang_desc,claude-opus-5,False,False,False,5,8,3,5,no_matching_call,14611,2112,0.12585500000000002,33.481483936309814,
multiple_25_he,multiple_25,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,True,1,1,0,0,,1048,295,0.012615000000000001,3.6165926456451416,
multiple_26_he,multiple_26,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,True,1,1,0,0,,988,294,0.012289999999999999,4.138550281524658,
multiple_27_he,multiple_27,he,full,he_translatable_full_lang_desc,claude-opus-5,True,False,False,3,3,0,2,,2881,518,0.027354999999999997,9.498454093933105,
multiple_38_he,multiple_38,he,full,he_translatable_full_lang_desc,claude-opus-5,True,True,False,1,1,0,0,,780,82,0.00595,2.2778165340423584,
