id	solve_rate	solve_rate_en	solve_rate_query	solve_rate_full	solve_rate_full_lang_desc	solve_rate_full_func_desc	n_total	n_en	n_query	n_full	top_error_type	query	ground_truth
multiple_2	91.67	100.00	100.00	85.71	100.00	100.00	12	2	3	7	no_matching_call	What is the capital of Brazil?	"[{""country_info.capital"": {""country"": [""Brazil""]}}]"
multiple_7	66.67	100.00	33.33	71.43	100.00	100.00	12	2	3	7	no_matching_call	How to assess the population growth in deer and their impact on woodland in Washington state over the past decade?	"[{""wildlife_population.assess_growth"": {""species"": [""deer"", ""Deer""], ""location"": [""Washington state"", ""WA"", ""Washington""], ""duration"": [10]}}]"
multiple_8	63.64	100.00	100.00	42.86	100.00	50.00	11	2	2	7	no_matching_call	Find a 3 bedroom villa for sale within $300,000 to $400,000 budget in San Diego.	"[{""realestate.find_properties"": {""location"": [""SD"", ""San Diego"", ""San Diego, CA"", ""CA""], ""propertyType"": [""villa""], ""bedrooms"": [3], ""budget"": [{""min"": [300000], ""max"": [400000]}]}}]"
multiple_9	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Calculate the average grade for student John who has these scores {'math':90, 'science':75, 'history':82, 'music':89} across different subjects.	"[{""calculate_average"": {""gradeDict"": [{""math"": [90], ""science"": [75], ""history"": [82], ""music"": [89]}]}}]"
multiple_12	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		What is the year over year growth rate for company 'Tech Inc' with revenues of $1M in 2019 and $1.2M in 2020?	"[{""corporate_finance.calculate_YOY_growth_rate"": {""company_name"": [""Tech Inc""], ""year1"": [2019], ""year1_revenue"": [1000000], ""year2"": [2020], ""year2_revenue"": [1200000]}}]"
multiple_13	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		How much revenue would company XYZ generate if we increase the sales units of product A by 10% while keeping the price the same?	"[{""corporate_finance.revenue_forecast"": {""company"": [""XYZ""], ""product"": [""A"", ""Product A""], ""sales_units_increase_percentage"": [10]}}]"
multiple_15	81.82	100.00	100.00	71.43	100.00	100.00	11	2	2	7	no_matching_call	How much is the potential of the Solar farm at location with coordinates [43.653225, -79.383186] in December, given that it has a total solar panel area of 80000 sq ft?	"[{""solarFarm.potential"": {""coordinates"": [[43.653225, -79.383186]], ""panelArea"": [80000], ""month"": [""December"", ""Dec""]}}]"
multiple_16	72.73	100.00	100.00	57.14	100.00	100.00	11	2	2	7	no_matching_call	What's the required minimum population size (Ne) for maintaining the genetic diversity of a wild tiger population for the next 100 generations with a probability of 0.95?	"[{""population_genetics.calculate_ne"": {""species"": [""wild tiger"", ""tiger""], ""generations"": [100], ""probability"": [0.95]}}]"
multiple_17	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Find the conversion rate from Euro to Dollar at January 1, 2022	"[{""currency_conversion.get_rate"": {""from_currency"": [""EUR"", ""Euro""], ""to_currency"": [""Dollar"", ""USD""], ""date"": [""2022-01-01"", ""01/01/2022"", ""1/1/2022"", ""Jan.1,2022"", ""January 1, 2022"", ""2022-1-1""]}}]"
multiple_18	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		Who were the main participants and what was the location of the Battle of Stalingrad?	"[{""european_history.battle_details"": {""battle"": [""Battle of Stalingrad"", ""Stalingrad""]}}]"
multiple_19	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		What are the three great Schism in Christianity history?	"[{""religion_history.get_schisms"": {""religion"": [""Christianity""], ""count"": [3]}}]"
multiple_20	81.82	100.00	100.00	71.43	100.00	50.00	11	2	2	7	no_matching_call	What is the price to commission a sculpture made of marble with a size of 3 feet?	"[{""sculpture_price.calculate"": {""material"": [""marble""], ""size"": [3], ""complexity"": [""medium"", """"]}}]"
multiple_22	100.00	100.00	100.00	100.00	100.00	100.00	11	2	2	7		What is the record for the most points scored by a single player in an NBA game?	"[{""sports_data.basketball.most_points_single_game"": {""league"": [""NBA""]}}]"
