id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
multiple_2_he,multiple_2,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,249,21,0.001875,3.9314799308776855,
multiple_7_he,multiple_7,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,True,1,1,0,0,,371,131,0.005785,3.0685763359069824,
multiple_8_he,multiple_8,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,4,4,0,3,,2163,328,0.020655,10.592907905578613,
multiple_9_he,multiple_9,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,355,32,0.002735,2.308088541030884,
multiple_12_he,multiple_12,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,449,86,0.004825,3.0380494594573975,
multiple_13_he,multiple_13,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,332,49,0.00313,1.4859864711761475,
multiple_15_he,multiple_15,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,445,51,0.0037549999999999997,2.528092384338379,
multiple_16_he,multiple_16,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,2,2,0,1,,1093,98,0.008405,3.4086060523986816,
multiple_17_he,multiple_17,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,404,56,0.0037,1.666792392730713,
multiple_18_he,multiple_18,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,274,41,0.0026,2.019636392593384,
multiple_19_he,multiple_19,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,364,30,0.00272,1.3779616355895996,
multiple_20_he,multiple_20,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,333,26,0.002445,1.9813289642333984,
multiple_22_he,multiple_22,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,464,26,0.0031,1.9550845623016357,
multiple_23_he,multiple_23,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,4006,646,0.03941,16.35810422897339,
multiple_24_he,multiple_24,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3227,661,0.035965,17.441784381866455,
multiple_25_he,multiple_25,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3075,381,0.026805,15.428442239761353,
multiple_26_he,multiple_26,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,412,84,0.004579999999999999,4.4209465980529785,
multiple_27_he,multiple_27,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3113,566,0.032545,17.465462923049927,
multiple_38_he,multiple_38,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,355,54,0.003395,2.1951165199279785,
multiple_39_he,multiple_39,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,350,54,0.0033699999999999997,2.2799301147460938,
multiple_44_he,multiple_44,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,376,28,0.00272,1.8314311504364014,
multiple_45_he,multiple_45,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,277,49,0.002855,1.8810958862304688,
multiple_46_he,multiple_46,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,2847,729,0.036105,20.589593648910522,
multiple_48_he,multiple_48,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3199,418,0.028534999999999998,12.888399124145508,
multiple_50_he,multiple_50,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,401,47,0.0034149999999999996,2.145190954208374,
multiple_52_he,multiple_52,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,273,38,0.0025050000000000003,1.8914029598236084,
multiple_53_he,multiple_53,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,3,3,0,2,,1335,234,0.013695,8.531585931777954,
multiple_54_he,multiple_54,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3114,341,0.0258,11.190456628799438,
multiple_55_he,multiple_55,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,4,4,0,3,,1603,160,0.012815,7.673682451248169,
multiple_56_he,multiple_56,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,4,4,0,3,,2138,197,0.0166,8.317439556121826,
multiple_58_he,multiple_58,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2055,285,0.018825,19.087313413619995,
multiple_59_he,multiple_59,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2290,432,0.02441,11.60348892211914,
multiple_60_he,multiple_60,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,384,27,0.00273,1.5698180198669434,
multiple_61_he,multiple_61,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3663,635,0.037365,15.787489652633667,
multiple_62_he,multiple_62,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2538,486,0.02727,13.09110713005066,
multiple_63_he,multiple_63,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,339,45,0.003045,2.2934935092926025,
multiple_64_he,multiple_64,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,387,76,0.004215,1.9205615520477295,
multiple_65_he,multiple_65,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,332,32,0.00262,1.6952719688415527,
multiple_66_he,multiple_66,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,369,52,0.003405,1.9773879051208496,
multiple_67_he,multiple_67,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,306,128,0.00537,2.7186663150787354,
multiple_68_he,multiple_68,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2349,453,0.025335,12.446784734725952,
multiple_70_he,multiple_70,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,459,29,0.0031650000000000003,1.698317527770996,
multiple_71_he,multiple_71,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,2,2,0,1,,842,99,0.007180000000000001,3.5752947330474854,
multiple_72_he,multiple_72,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,2,2,0,1,,774,67,0.00588,3.1841955184936523,
multiple_73_he,multiple_73,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,259,22,0.001955,1.3208539485931396,
multiple_74_he,multiple_74,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,3,3,0,2,,1265,174,0.011545,5.771345376968384,
multiple_75_he,multiple_75,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2555,261,0.020605,10.985315561294556,
multiple_76_he,multiple_76,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3425,575,0.034375,18.811511039733887,
multiple_77_he,multiple_77,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3124,496,0.0305,14.642899751663208,
multiple_78_he,multiple_78,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,401,59,0.0037749999999999997,1.721034288406372,
multiple_79_he,multiple_79,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2225,244,0.018445,9.73882532119751,
multiple_80_he,multiple_80,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3956,481,0.034210000000000004,14.084104061126709,
multiple_81_he,multiple_81,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,366,67,0.00384,5.239964008331299,
multiple_83_he,multiple_83,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,402,57,0.00372,1.5844733715057373,
multiple_84_he,multiple_84,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,3,3,0,2,,1240,187,0.01181,6.176659822463989,
multiple_85_he,multiple_85,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,343,35,0.002765,1.8692028522491455,
multiple_86_he,multiple_86,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,438,65,0.00414,1.5597355365753174,
multiple_87_he,multiple_87,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2507,289,0.021205,11.059094429016113,
multiple_88_he,multiple_88,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,330,35,0.0027,1.5413920879364014,
multiple_89_he,multiple_89,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,3,3,0,2,,1662,169,0.01338,5.636790752410889,
multiple_90_he,multiple_90,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3288,406,0.02862,12.400763988494873,
multiple_91_he,multiple_91,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,2774,492,0.028630000000000003,14.534475564956665,
multiple_92_he,multiple_92,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3677,541,0.03461500000000001,17.506519556045532,
multiple_93_he,multiple_93,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2607,352,0.023594999999999998,10.293788194656372,
multiple_94_he,multiple_94,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2757,443,0.027075,96.17011594772339,
multiple_95_he,multiple_95,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,330,33,0.00264,1.2972266674041748,
multiple_97_he,multiple_97,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,376,18,0.00242,1.6167962551116943,
multiple_98_he,multiple_98,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,515,20,0.003175,1.469407320022583,
multiple_104_he,multiple_104,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3143,325,0.025465,11.758953332901001,
multiple_108_he,multiple_108,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,403,27,0.002825,1.986259937286377,
multiple_109_he,multiple_109,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,2,2,0,1,,1038,98,0.00813,3.5136070251464844,
multiple_110_he,multiple_110,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,2,2,0,1,,841,68,0.006245,2.9808945655822754,
multiple_112_he,multiple_112,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,325,38,0.002765,1.3342244625091553,
multiple_114_he,multiple_114,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2884,355,0.02507,10.835006713867188,
multiple_115_he,multiple_115,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3328,602,0.034699999999999995,15.821033000946045,
multiple_118_he,multiple_118,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,4220,486,0.03568,27.01322650909424,
multiple_119_he,multiple_119,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3774,532,0.03483,12.960339069366455,
multiple_121_he,multiple_121,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,399,22,0.002655,1.2139945030212402,
multiple_131_he,multiple_131,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,517,59,0.0043549999999999995,1.6437475681304932,
multiple_134_he,multiple_134,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,597,47,0.004395,1.781585454940796,
multiple_135_he,multiple_135,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3077,547,0.031795,16.257895708084106,
multiple_136_he,multiple_136,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2437,396,0.024065,11.261265516281128,
multiple_137_he,multiple_137,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3110,484,0.03007,12.239952802658081,
multiple_138_he,multiple_138,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,2,1,0,,986,158,0.009669999999999998,5.345376968383789,
multiple_139_he,multiple_139,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3547,314,0.027155,10.123105764389038,
multiple_140_he,multiple_140,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3424,442,0.03038,12.77595591545105,
multiple_142_he,multiple_142,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,3,3,0,2,,1315,146,0.010955,6.833676815032959,
multiple_144_he,multiple_144,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,304,28,0.00236,1.6535146236419678,
multiple_145_he,multiple_145,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,3,3,0,2,,1710,207,0.014759999999999999,5.841115236282349,
multiple_146_he,multiple_146,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,False,False,3,3,0,2,,1219,187,0.011705,7.589389324188232,
multiple_147_he,multiple_147,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,448,42,0.0034999999999999996,1.6087377071380615,
multiple_148_he,multiple_148,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2143,343,0.021005,11.753992557525635,
multiple_149_he,multiple_149,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3039,370,0.026295,10.154691696166992,
multiple_151_he,multiple_151,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,4028,386,0.03172,13.399629354476929,
multiple_152_he,multiple_152,he,full_and_function_descriptions,he_translatable_full_func_desc,gpt-5.6-sol,True,True,False,1,1,0,0,,411,59,0.003825,2.4262256622314453,
