id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
multiple_2,,,,en_translatable,gpt-5.6-sol,True,True,False,1,2,1,0,,449,50,0.003745,4.761989593505859,
multiple_7,,,,en_translatable,gpt-5.6-sol,True,True,True,1,1,0,0,,289,119,0.005015,3.6808156967163086,
multiple_8,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,333,58,0.003405,3.0945324897766113,
multiple_9,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,263,32,0.002275,2.6805472373962402,
multiple_12,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,372,75,0.00411,3.1054952144622803,
multiple_13,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,266,91,0.00406,2.3416316509246826,
multiple_15,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,316,38,0.0027199999999999998,1.7384307384490967,
multiple_16,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,389,45,0.003295,2.620112180709839,
multiple_17,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,332,54,0.00328,2.7016842365264893,
multiple_18,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,220,26,0.0018800000000000002,1.6850860118865967,
multiple_19,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,292,69,0.0035299999999999997,1.9248988628387451,
multiple_20,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,285,41,0.0026550000000000002,1.7425177097320557,
multiple_22,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,335,26,0.002455,1.8701362609863281,
multiple_23,,,,en_translatable,gpt-5.6-sol,True,False,False,2,2,0,1,,747,125,0.007485,5.51810097694397,
multiple_24,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,274,65,0.00332,2.5997061729431152,
multiple_25,,,,en_translatable,gpt-5.6-sol,True,True,True,1,1,0,0,,372,136,0.00594,2.5174858570098877,
multiple_26,,,,en_translatable,gpt-5.6-sol,True,True,True,1,1,0,0,,332,142,0.00592,3.8744640350341797,
multiple_27,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,270,48,0.00279,2.0089285373687744,
multiple_38,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,286,45,0.0027800000000000004,2.1782994270324707,
multiple_39,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,263,50,0.002815,2.2250993251800537,
multiple_44,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,295,27,0.002285,1.8288297653198242,
multiple_45,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,227,46,0.002515,2.0066709518432617,
multiple_46,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,271,26,0.0021349999999999997,1.5701251029968262,
multiple_48,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,276,46,0.00276,1.6111962795257568,
multiple_50,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,308,37,0.00265,1.722921371459961,
multiple_52,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,228,39,0.00231,2.200086832046509,
multiple_53,,,,en_translatable,gpt-5.6-sol,True,False,False,2,2,0,1,,615,180,0.008475,5.987716436386108,
multiple_54,,,,en_translatable,gpt-5.6-sol,True,False,False,3,3,0,2,,987,158,0.009675,6.331463813781738,
multiple_55,,,,en_translatable,gpt-5.6-sol,True,False,False,2,2,0,1,,546,116,0.00621,4.290970325469971,
multiple_56,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,337,46,0.003065,1.87284255027771,
multiple_58,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,240,54,0.00282,1.9548189640045166,
multiple_59,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,243,63,0.003105,1.9391074180603027,
multiple_60,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,297,62,0.003345,2.092879295349121,
multiple_61,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,319,62,0.003455,1.8419532775878906,
multiple_62,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,267,55,0.002985,2.463815689086914,
multiple_63,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,271,47,0.002765,2.1410560607910156,
multiple_64,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,279,90,0.004095,2.5135695934295654,
multiple_65,,,,en_translatable,gpt-5.6-sol,True,True,False,1,1,0,0,,276,31,0.00231,2.387183666229248,
