id,translatable_params
multiple_0,false
multiple_1,false
multiple_2,true
multiple_3,false
multiple_4,false
multiple_5,false
multiple_6,false
multiple_7,true
multiple_8,true
multiple_9,false
multiple_10,false
multiple_11,false
multiple_12,true
multiple_13,false
multiple_14,false
multiple_15,true
multiple_16,true
multiple_17,true
multiple_18,true
multiple_19,true
multiple_20,true
multiple_21,false
multiple_22,false
multiple_23,true
multiple_24,true
multiple_25,true
multiple_26,true
multiple_27,true
multiple_28,false
multiple_29,false
multiple_30,false
multiple_31,false
multiple_32,false
multiple_33,false
multiple_34,false
multiple_35,false
multiple_36,false
multiple_37,false
multiple_38,true
multiple_39,true
multiple_40,false
multiple_41,false
multiple_42,false
multiple_43,false
multiple_44,true
multiple_45,true
multiple_46,true
multiple_47,false
multiple_48,true
multiple_49,false
multiple_50,true
multiple_51,false
multiple_52,true
multiple_53,true
multiple_54,true
multiple_55,true
multiple_56,true
multiple_57,false
multiple_58,true
multiple_59,true
multiple_60,true
multiple_61,true
multiple_62,true
multiple_63,true
multiple_64,true
multiple_65,true
multiple_66,true
multiple_67,true
multiple_68,true
multiple_69,false
multiple_70,true
multiple_71,true
multiple_72,true
multiple_73,true
multiple_74,true
multiple_75,true
multiple_76,true
multiple_77,true
multiple_78,true
multiple_79,true
multiple_80,true
multiple_81,true
multiple_82,false
multiple_83,true
multiple_84,true
multiple_85,true
multiple_86,true
multiple_87,false
multiple_88,true
multiple_89,true
multiple_90,true
multiple_91,true
multiple_92,true
multiple_93,true
multiple_94,true
multiple_95,false
multiple_96,false
multiple_97,true
multiple_98,false
multiple_99,false
multiple_100,false
multiple_101,false
multiple_102,false
multiple_103,false
multiple_104,true
multiple_105,false
multiple_106,false
multiple_107,false
multiple_108,false
multiple_109,true
multiple_110,false
multiple_111,false
multiple_112,true
multiple_113,false
multiple_114,true
multiple_115,true
multiple_116,false
multiple_117,false
multiple_118,true
multiple_119,true
multiple_120,false
multiple_121,true
multiple_122,false
multiple_123,false
multiple_124,false
multiple_125,false
multiple_126,false
multiple_127,false
multiple_128,false
multiple_129,false
multiple_130,false
multiple_131,true
multiple_132,false
multiple_133,false
multiple_134,true
multiple_135,true
multiple_136,true
multiple_137,true
multiple_138,true
multiple_139,true
multiple_140,true
multiple_141,false
multiple_142,true
multiple_143,false
multiple_144,true
multiple_145,false
multiple_146,true
multiple_147,true
multiple_148,true
multiple_149,true
multiple_150,false
multiple_151,true
multiple_152,true
multiple_153,true
multiple_154,false
multiple_155,true
multiple_156,true
multiple_157,true
multiple_158,true
multiple_159,false
multiple_160,true
multiple_161,true
multiple_162,false
multiple_163,false
multiple_164,true
multiple_165,true
multiple_166,true
multiple_167,false
multiple_168,true
multiple_169,false
multiple_170,true
multiple_171,true
multiple_172,true
multiple_173,false
multiple_174,true
multiple_175,true
multiple_176,true
multiple_177,true
multiple_178,true
multiple_179,false
multiple_180,true
multiple_181,true
multiple_182,true
multiple_183,true
multiple_184,true
multiple_185,true
multiple_186,true
multiple_187,true
multiple_188,true
multiple_189,true
multiple_190,true
multiple_191,true
multiple_192,false
multiple_193,true
multiple_194,true
multiple_195,false
multiple_196,true
multiple_197,true
multiple_198,false
multiple_199,true
