id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
wild_tool_bench_0,,,,en_translatable,claude-opus-5,False,False,False,5,6,1,5,simple_function_checker:wrong_count,15613,1467,0.11474,25.909815311431885,
wild_tool_bench_1,,,,en_translatable,claude-opus-5,False,False,False,5,5,0,5,simple_function_checker:wrong_func_name,9329,1138,0.075095,23.323835849761963,
wild_tool_bench_10,,,,en_translatable,claude-opus-5,True,True,False,1,1,0,0,,1126,145,0.009255000000000001,2.898900032043457,
wild_tool_bench_12,,,,en_translatable,claude-opus-5,False,False,False,5,7,2,5,simple_function_checker:wrong_func_name,21478,2540,0.17089,40.885924100875854,
wild_tool_bench_13,,,,en_translatable,claude-opus-5,False,False,False,5,5,0,5,simple_function_checker:wrong_func_name,6346,566,0.045880000000000004,15.820713758468628,
wild_tool_bench_14,,,,en_translatable,claude-opus-5,False,False,False,5,6,1,5,simple_function_checker:wrong_count,9193,1291,0.07824,26.29163432121277,
wild_tool_bench_16,,,,en_translatable,claude-opus-5,True,True,True,1,1,0,0,,1310,119,0.009525,2.80279803276062,
wild_tool_bench_17,,,,en_translatable,claude-opus-5,True,True,False,1,1,0,0,,966,62,0.00638,2.9996566772460938,
wild_tool_bench_25,,,,en_translatable,claude-opus-5,False,False,False,5,6,1,5,simple_function_checker:wrong_count,14981,1405,0.11003,25.932124376296997,
wild_tool_bench_29,,,,en_translatable,claude-opus-5,True,True,True,1,1,0,0,,973,70,0.006615,3.475994825363159,
