id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
multiple_2_he,multiple_2,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,2,2,0,1,,527,52,0.004195,3.5566766262054443,
multiple_7_he,multiple_7,he,query,he_translatable_query,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,3226,906,0.04331,15.886091947555542,
multiple_8_he,multiple_8,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,372,62,0.00372,2.563774585723877,
multiple_9_he,multiple_9,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,303,32,0.0024749999999999998,2.341611385345459,
multiple_12_he,multiple_12,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,405,83,0.004515,2.5996150970458984,
multiple_13_he,multiple_13,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,299,63,0.003385,1.7685072422027588,
multiple_15_he,multiple_15,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,361,38,0.0029449999999999997,1.432316541671753,
multiple_16_he,multiple_16,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,4,4,0,3,,2194,341,0.0212,12.845579147338867,
multiple_17_he,multiple_17,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,366,54,0.00345,3.930635452270508,
multiple_18_he,multiple_18,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,2,2,0,1,,577,66,0.004865,3.2830069065093994,
multiple_19_he,multiple_19,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,329,29,0.002515,1.3519024848937988,
multiple_20_he,multiple_20,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,2,2,0,1,,696,94,0.0063,3.4059274196624756,
multiple_22_he,multiple_22,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,371,26,0.002635,1.6573865413665771,
multiple_23_he,multiple_23,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,378,79,0.00426,2.293520450592041,
multiple_24_he,multiple_24,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,2,2,0,1,,706,156,0.00821,4.336147785186768,
multiple_25_he,multiple_25,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,403,82,0.004475,2.0621142387390137,
multiple_26_he,multiple_26,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,368,85,0.00439,2.15366268157959,
multiple_27_he,multiple_27,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,2,2,0,1,,691,106,0.006635,3.2591030597686768,
multiple_38_he,multiple_38,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,2,2,0,1,,702,128,0.00735,4.153658390045166,
multiple_39_he,multiple_39,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,301,32,0.002465,1.4317679405212402,
multiple_44_he,multiple_44,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,329,27,0.0024549999999999997,1.2425622940063477,
multiple_45_he,multiple_45,he,query,he_translatable_query,gpt-5.6-sol,True,False,False,2,2,0,1,,584,98,0.00586,3.674346685409546,
multiple_46_he,multiple_46,he,query,he_translatable_query,gpt-5.6-sol,True,True,False,1,1,0,0,,304,26,0.0023,1.643012285232544,
