id,source_id,locale,localization_level,benchmark,model,success,first_attempt_success,success_with_extra_calls,num_attempts,num_api_calls,num_clarifications,num_failed_calls,final_error_type,total_input_tokens,total_output_tokens,estimated_cost_usd,total_latency_s,error
multiple_2_he,multiple_2,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,235,21,0.001805,2.0954692363739014,
multiple_7_he,multiple_7,he,full,he_translatable_full,gpt-5.6-sol,True,True,True,1,1,0,0,,336,130,0.00558,4.150538682937622,
multiple_8_he,multiple_8,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,3410,675,0.0373,16.645508527755737,
multiple_9_he,multiple_9,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,305,32,0.002485,2.3758766651153564,
multiple_12_he,multiple_12,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,407,84,0.004555,2.8594090938568115,
multiple_13_he,multiple_13,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,299,59,0.0032649999999999997,2.3374855518341064,
multiple_15_he,multiple_15,he,full,he_translatable_full,gpt-5.6-sol,True,False,False,2,2,0,1,,810,138,0.00819,6.6636621952056885,
multiple_16_he,multiple_16,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2945,450,0.028225,12.196467876434326,
multiple_17_he,multiple_17,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,365,51,0.0033549999999999995,3.94856595993042,
multiple_18_he,multiple_18,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,252,52,0.00282,2.0297114849090576,
multiple_19_he,multiple_19,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,329,30,0.0025449999999999995,1.3379788398742676,
multiple_20_he,multiple_20,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,7,2,5,no_matching_call,3683,648,0.037855,18.556113719940186,
multiple_22_he,multiple_22,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,372,26,0.00264,1.5500538349151611,
multiple_23_he,multiple_23,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2668,515,0.028790000000000003,13.273409843444824,
multiple_24_he,multiple_24,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2320,513,0.02699,12.990314483642578,
multiple_25_he,multiple_25,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2744,413,0.02611,10.436684131622314,
multiple_26_he,multiple_26,he,full,he_translatable_full,gpt-5.6-sol,True,False,True,3,3,0,2,,1291,402,0.018515000000000004,9.65735125541687,
multiple_27_he,multiple_27,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,2908,647,0.03395,15.486405611038208,
multiple_38_he,multiple_38,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,320,56,0.00328,1.9561796188354492,
multiple_39_he,multiple_39,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,302,53,0.0031000000000000003,2.1380743980407715,
multiple_44_he,multiple_44,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,329,39,0.002815,1.4792275428771973,
multiple_45_he,multiple_45,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,257,54,0.002905,1.6595418453216553,
multiple_46_he,multiple_46,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,5,0,5,no_matching_call,2133,661,0.030495,16.945679426193237,
multiple_48_he,multiple_48,he,full,he_translatable_full,gpt-5.6-sol,True,False,False,5,5,0,4,,2278,337,0.021500000000000002,10.844252824783325,
multiple_50_he,multiple_50,he,full,he_translatable_full,gpt-5.6-sol,True,False,False,3,3,0,2,,1212,173,0.01125,6.360116958618164,
multiple_52_he,multiple_52,he,full,he_translatable_full,gpt-5.6-sol,True,True,False,1,1,0,0,,261,41,0.002535,1.637556791305542,
multiple_53_he,multiple_53,he,full,he_translatable_full,gpt-5.6-sol,True,False,False,3,3,0,2,,1170,215,0.0123,6.7412803173065186,
multiple_54_he,multiple_54,he,full,he_translatable_full,gpt-5.6-sol,False,False,False,5,6,1,5,no_matching_call,2829,416,0.026625,14.200123310089111,
